SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionFactor,Startingfraction,Error
4,2,60,4,0.9375,0.0625,10000,0.9,0.032327237
4,2,43,33,0.565789474,0.434210526,10000,0.75,0.055790165
4,2,28,23,0.549019608,0.450980392,10000,0.5,0.067737922
4,2,8,41,0.163265306,0.836734694,10000,0.25,0.052865708
4,2,14,25,0.358974359,0.641025641,10000,0.1,0.074323098
4,2,25,0,1.0,0.0,100000,0.9,0.035689782
4,2,12,0,1.0,0.0,100000,0.75,0.066496381
4,2,12,0,1.0,0.0,100000,0.5,0.066496381
4,2,11,0,1.0,0.0,100000,0.25,0.071216931
4,2,12,1,0.923076923,0.076923077,100000,0.1,0.084983659
4,2,9,0,1.0,0.0,300000,0.9,0.082988266
4,2,3,0,1.0,0.0,300000,0.75,0.163299316
4,2,17,0,1.0,0.0,300000,0.5,0.0499307
4,2,12,0,1.0,0.0,300000,0.25,0.066496381
4,2,16,0,1.0,0.0,300000,0.1,0.052550295
4,2,0,55,0.0,1.0,10,0.925,0.017238726
4,2,0,30,0.0,1.0,100,0.925,0.03028823
4,2,7,14,0.333333333,0.666666667,1000,0.925,0.097220347
4,2,25,9,0.735294118,0.264705882,10000,0.925,0.073634834
4,2,42,2,0.954545455,0.045454545,100000,0.925,0.036015388
4,2,35,0,1.0,0.0,1000000,0.925,0.026306176
4,2,0,80,0.0,1.0,10,0.133,0.012047297
4,2,0,31,0.0,1.0,100,0.133,0.029398258
4,2,0,15,0.0,1.0,1000,0.133,0.055459355
4,2,9,39,0.1875,0.8125,10000,0.133,0.056011203
4,2,31,2,0.939393939,0.060606061,100000,0.133,0.046656947
4,2,30,0,1.0,0.0,1000000,0.133,0.03028823
2,5,0,56,0.0,1.0,10,0.9,0.016946633
2,5,45,44,0.505617978,0.494382022,100,0.9,0.052125456
2,5,49,7,0.875,0.125,1000,0.9,0.044892728
2,5,51,0,1.0,0.0,10000,0.9,0.018515222
2,5,29,0,1.0,0.0,100000,0.9,0.031233737
2,5,0,60,0.0,1.0,10,0.1,0.015870951
2,5,0,49,0.0,1.0,100,0.1,0.019227072
2,5,76,11,0.873563218,0.126436782,1000,0.1,0.036001842
2,5,38,0,1.0,0.0,10000,0.1,0.024382621
2,5,15,0,1.0,0.0,100000,0.1,0.055459355
2,5,0,117,0.0,1.0,10,0.1,0.008333
2,5,0,97,0.0,1.0,10,0.9,0.0099995
2,5,0,81,0.0,1.0,100,0.1,0.011904
2,5,136,57,0.70466,0.29534,100,0.9,0.032652
2,5,53,12,0.81538,0.18462,1000,0.1,0.047956
2,5,66,0,1.0,0.0,1000,0.9,0.014491
2,5,22,2,0.91667,0.083333,10000,0.1,0.061485
2,5,35,0,1.0,0.0,10000,0.9,0.026306
2,5,16,0,1.0,0.0,100000,0.1,0.05255
2,5,29,0,1.0,0.0,100000,0.9,0.031234
4,3,24,34,0.41379,0.58621,10,0.9,0.063123
4,3,12,117,0.093023,0.90698,10,0.1,0.026023
4,3,16,36,0.30769,0.69231,100,0.9,0.062625
4,3,14,53,0.20896,0.79104,100,0.1,0.0493
4,3,60,29,0.67416,0.32584,1000,0.9,0.049011
4,3,56,19,0.74667,0.25333,1000,0.1,0.049649
4,3,50,22,0.69444,0.30556,10000,0.9,0.053442
4,3,31,19,0.62,0.38,10000,0.1,0.066826
4,3,62,0,1.0,0.0,100000,0.9,0.015383
4,3,39,2,0.95122,0.04878,100000,0.1,0.038406
4,3,27,0,1.0,0.0,1000000,0.9,0.033314
4,3,15,0,1.0,0.0,1000000,0.1,0.055459
4,3,21,42,0.333333333,0.666666667,10,0.9,0.058245214
4,3,14,50,0.21875,0.78125,10,0.5,0.051197574
4,3,9,19,0.321428571,0.678571429,10,0.1,0.084666751
4,3,16,15,0.516129032,0.483870968,100,0.9,0.085709913
4,3,24,8,0.75,0.25,100,0.5,0.074572434
4,3,14,23,0.378378378,0.621621622,100,0.1,0.076923077
4,3,10,15,0.4,0.6,1000,0.9,0.092856766
4,3,21,16,0.567567568,0.432432432,1000,0.5,0.078404538
4,3,7,17,0.291666667,0.708333333,1000,0.1,0.088823118
4,3,44,8,0.846153846,0.153846154,10000,0.9,0.050251891
4,3,21,12,0.636363636,0.363636364,10000,0.5,0.080531117
4,3,46,8,0.851851852,0.148148148,10000,0.1,0.04864573
4,3,16,0,1.0,0.0,100000,0.9,0.052550295
4,3,18,0,1.0,0.0,100000,0.5,0.047559487
4,3,17,0,1.0,0.0,100000,0.1,0.0499307
4,3,10,0,1.0,0.0,300000,0.9,0.076655518
4,3,34,0,1.0,0.0,300000,0.5,0.027016598
4,3,12,0,1.0,0.0,300000,0.1,0.066496381
4,3,5,17,0.227272727,0.772727273,10,0.9,0.08660254
4,3,4,28,0.125,0.875,10,0.6,0.059864735
4,3,2,19,0.095238095,0.904761905,10,0.4,0.068745167
4,3,1,28,0.034482759,0.965517241,10,0.1,0.043428748
4,3,6,13,0.315789474,0.684210526,100,0.9,0.100503782
4,3,2,3,0.4,0.6,100,0.6,0.174963553
4,3,23,11,0.676470588,0.323529412,100,0.4,0.077498426
4,3,4,4,0.5,0.5,100,0.1,0.150755672
4,3,22,6,0.785714286,0.214285714,1000,0.9,0.075964527
4,3,19,42,0.31147541,0.68852459,1000,0.6,0.058186025
4,3,29,13,0.69047619,0.30952381,1000,0.4,0.069432965
4,3,28,24,0.538461538,0.461538462,1000,0.1,0.067234766
4,3,29,32,0.475409836,0.524590164,10000,0.9,0.062429098
4,3,28,14,0.666666667,0.333333333,10000,0.6,0.070661963
4,3,26,3,0.896551724,0.103448276,10000,0.4,0.059261849
4,3,35,8,0.813953488,0.186046512,10000,0.1,0.058976782
4,3,13,0,1.0,0.0,100000,0.9,0.062360956
4,3,19,4,0.826086957,0.173913043,100000,0.6,0.078446454
4,3,23,1,0.958333333,0.041666667,100000,0.4,0.051282051
4,3,8,4,0.666666667,0.333333333,100000,0.1,0.123717915
4,3,4,0,1.0,0.0,1000000,0.9,0.140859042
4,3,6,0,1.0,0.0,1000000,0.6,0.110239638
